"";"birdlife_taxon_id";"birdlife_latin"
"173";22720960;"Emberiza rustica"
"174";22720966;"Emberiza aureola"
"175";22720990;"Emberiza melanocephala"
"176";22721012;"Emberiza schoeniclus"
"177";22721020;"Emberiza calandra"
"178";22721033;"Calcarius lapponicus"
"179";22721043;"Plectrophenax nivalis"
"180";22725015;"Picus sharpei"
"181";22725022;"Picus viridis"
"182";22725044;"Acanthis flammea"
"183";22725105;"Rhodopechys sanguineus"
"184";22726503;"Picus canus"
"186";22727124;"Dendrocopos leucotos"
"188";22727137;"Picoides tridactylus"
"190";22727811;"Streptopelia decaocto"
"191";22728944;"Loxia leucoptera"
"192";22729520;"Phylloscopus ibericus"
"193";22729533;"Lanius meridionalis"
"194";22730775;"Oenanthe lugens"
"195";22734747;"Iduna pallida"
"196";22734793;"Curruca crassirostris"
"197";22734992;"Curruca curruca"
"198";22734997;"Regulus regulus"
"199";22735002;"Regulus ignicapilla"
"200";22735007;"Emberiza striolata"
"201";22735012;"Curruca hortensis"
"202";22735017;"Curruca sarda"
"203";22735060;"Certhia familiaris"
"204";22735909;"Ficedula parva"
"205";22735990;"Parus major"
"206";22735995;"Poecile palustris"
"207";22736020;"Passer simplex"
"208";102998555;"Alauda arvensis"
"209";103692938;"Oriolus oriolus"
"210";103718932;"Lanius excubitor"
"211";103721987;"Cyanopica cyanus"
"212";103723684;"Garrulus glandarius"
"213";103727048;"Pica pica"
"214";103727252;"Nucifraga caryocatactes"
"215";103761494;"Poecile lugubris"
"216";103761667;"Cyanistes caeruleus"
"217";103764950;"Carduelis carduelis"
"218";103766207;"Calandrella brachydactyla"
"219";103773898;"Oenanthe oenanthe"
"220";103773966;"Oenanthe seebohmi"
"221";103811886;"Delichon urbicum"
"222";103812643;"Cecropis daurica"
"223";103815402;"Riparia paludicola"
"224";103815961;"Riparia riparia"
"225";103818789;"Passer domesticus"
"226";103819582;"Montifringilla nivalis"
"227";103821389;"Anthus richardi"
"228";103822349;"Motacilla flava"
"229";103843725;"Phylloscopus collybita"
"230";103845399;"Phylloscopus trochiloides"
"231";103845882;"Phylloscopus borealis"
"232";103871923;"Aegithalos caudatus"
"233";103872996;"Curruca nana"
"234";103874024;"Curruca cantillans"
"235";103879804;"Sitta europaea"
"236";103883277;"Troglodytes troglodytes"
"237";103888106;"Turdus merula"
"238";104005679;"Ptyonoprogne fuligula"
"239";104317670;"Acrocephalus arundinaceus"
"240";105294257;"Tarsiger cyanurus"
"241";155139697;"Poecile montanus"
"242";155249960;"Remiz pendulinus"
"243";216912644;"Alaudala rufescens"
